benchmark,method,sample_index,correct,predicted_answer,gt_answer,model_response,detector_summary,preprocess_time_sec,yolo_time_sec,processor_time_sec,prefill_time_sec,decode_time_sec,output_time_sec,input_time_with_preprocess_sec,total_time_sec,text_tokens,image_tokens,total_tokens,prefill_tokens_per_sec,decode_tokens_per_sec,prefill_mem_peak_allocated_mb,decode_mem_peak_allocated_mb,overall_peak_allocated_mb,num_objects,n_detections,n_crops_sent,smol_time_sec,smol_peak_mem_mb,smol_text_tokens,smol_image_tokens,smol_total_tokens,qwen_text_tokens,qwen_image_tokens,qwen_total_tokens,qwen_peak_mem_mb,smol_description,question,num_vlm_images,single_vlm_max_side,smol_max_side,thumb_max_side,crop_qwen_scale,yolo_context_scale,sweep_axis,sweep_value
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,0,1,A,A,A,"person:0.34, person:0.31, class_67:0.45",17.953936499980045,1.2487487999896985,0.03548900000168942,0.03548900000168942,0.9791005000006407,0.9791005000006407,17.989425499981735,18.968525999982376,530.0,569.0,1099.0,30967.341991819525,2.0426912252610343,3621.451171875,3621.451171875,3621.451171875,3.0,6,3,16.705187699990347,3189.3876953125,27.0,1127.0,1154.0,530.0,569.0,1099.0,3621.451171875,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27B
B. 37B
C. 27D
D. 27E",4,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,1,1,B,B,B,"person:0.34, person:0.31, class_67:0.45",17.92270290001761,1.164458100014599,0.03316399999312125,0.03316399999312125,0.9590350999787915,0.9590350999787915,17.955866900010733,18.914901999989524,530.0,569.0,1099.0,33138.34278820258,2.0854294071658366,3621.451171875,3621.451171875,3621.451171875,3.0,6,3,16.758244800003013,3189.39892578125,27.0,1127.0,1154.0,530.0,569.0,1099.0,3621.451171875,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27B
C. 37B
D. 27D",4,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,2,1,C,C,C,"person:0.34, person:0.31, class_67:0.45",18.145891299995128,1.4212243999936618,0.0567350999917835,0.0567350999917835,0.9561688999820035,0.9561688999820035,18.20262639998691,19.158795299968915,530.0,569.0,1099.0,19370.7246512152,2.091680664407348,3621.451171875,3621.451171875,3621.451171875,3.0,6,3,16.724666900001466,3189.39892578125,27.0,1127.0,1154.0,530.0,569.0,1099.0,3621.451171875,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27D
C. 27B
D. 37B",4,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,3,1,D,D,D,"person:0.34, person:0.31, class_67:0.45",17.8248890999821,1.14181390000158,0.037958000000799075,0.037958000000799075,0.9569956000195816,0.9569956000195816,17.8628470999829,18.819842700002482,530.0,569.0,1099.0,28953.05337417315,2.0898737674019365,3621.451171875,3621.451171875,3621.451171875,3.0,6,3,16.68307519998052,3189.39892578125,27.0,1127.0,1154.0,530.0,569.0,1099.0,3621.451171875,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 37B
C. 27D
D. 27B",4,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,4,1,A,A,A,"class_67:0.53, class_67:0.40",18.17976660002023,1.0916833000082988,0.02908540001953952,0.02908540001953952,0.8257613999885507,0.8257613999885507,18.20885200003977,19.03461340002832,471.0,481.0,952.0,32731.19844872163,2.422007131875782,3512.89501953125,3512.89501953125,3512.89501953125,2.0,8,2,17.08808330001193,3189.39892578125,27.0,1127.0,1154.0,471.0,481.0,952.0,3512.89501953125,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Blue
B. Red
C. Green
D. Black",3,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,5,1,B,B,B,"class_67:0.53, class_67:0.40",18.014039800007595,1.175665900023887,0.017471400002250448,0.017471400002250448,0.7785147000104189,0.7785147000104189,18.031511200009845,18.810025900020264,471.0,481.0,952.0,54489.050670087985,2.5689945224839477,3512.89501953125,3512.89501953125,3512.89501953125,2.0,8,2,16.838373899983708,3189.39892578125,27.0,1127.0,1154.0,471.0,481.0,952.0,3512.89501953125,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Blue
C. Black
D. Red",3,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,6,1,C,C,C,"class_67:0.53, class_67:0.40",18.147974699997576,1.360777699999744,0.04488919998402707,0.04488919998402707,0.7612107999739237,0.7612107999739237,18.192863899981603,18.954074699955527,471.0,481.0,952.0,21207.77381505463,2.6273930954060463,3512.89501953125,3512.89501953125,3512.89501953125,2.0,8,2,16.787196999997832,3189.39892578125,27.0,1127.0,1154.0,471.0,481.0,952.0,3512.89501953125,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Blue
D. Red",3,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,7,1,D,D,D,"class_67:0.53, class_67:0.40",18.773076099983882,1.4123977999843191,0.05751159999636002,0.05751159999636002,0.7704016999923624,0.7704016999923624,18.830587699980242,19.600989399972605,471.0,481.0,952.0,16553.182315572045,2.596048269389628,3512.89501953125,3512.89501953125,3512.89501953125,2.0,8,2,17.360678299999563,3189.39892578125,27.0,1127.0,1154.0,471.0,481.0,952.0,3512.89501953125,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Red
D. Blue",3,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,8,1,A,A,A,"person:0.25, class_75:0.38, class_67:0.29",17.96524069996667,1.430485699995188,0.058894399990094826,0.058894399990094826,0.9231127999955788,0.9231127999955788,18.024135099956766,18.947247899952345,513.0,559.0,1072.0,18202.070148949555,2.16658245883881,3599.3271484375,3599.3271484375,3599.3271484375,3.0,7,3,16.534754999971483,3189.39892578125,27.0,1127.0,1154.0,513.0,559.0,1072.0,3599.3271484375,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, straight, dark hair that is parted in the middle and falls over her shoulders. She is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with some text on it. She is also wearing a white handbag with a lace trim and a small blue tag with some text on it. Her shorts are light blue and she has a watch on her left wrist.

The background of the image is slightly blurred, but it appears to be an outdoor setting, possibly a courtyard or a small park. There is a concrete or brick wall to the right of the woman, with a white brick column on the right side. The wall has a rough texture and appears to be made of concrete or brick. There is a small object, possibly a trash bin or a trash can, located on the left side of the image, partially visible.

The woman is looking upwards with a focused expression, possibly indicating that she is contemplating something important or is about to make a decision. Her body language suggests that she is either listening or engaged in thought.","Is the mailbox on the left or right side of the woman?

Options:
A. Right
B. Directly above
C. In front
D. Left",4,1280,1280,540,0.5,0.5,thumb,540
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_thumb540,9,1,B,B,B,"person:0.25, class_75:0.38, class_67:0.29",18.139027700031875,1.3680086000240408,0.05355989999952726,0.05355989999952726,0.9189036000170745,0.9189036000170745,18.192587600031402,19.111491200048476,513.0,559.0,1072.0,20014.97388922425,2.1765068718447043,3599.3271484375,3599.3271484375,3599.3271484375,3.0,7,3,16.771019100007834,3189.39892578125,27.0,1127.0,1154.0,513.0,559.0,1072.0,3599.3271484375,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, straight, dark hair that is parted in the middle and falls over her shoulders. She is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with some text on it. She is also wearing a white handbag with a lace trim and a small blue tag with some text on it. Her shorts are light blue and she has a watch on her left wrist.

The background of the image is slightly blurred, but it appears to be an outdoor setting, possibly a courtyard or a small park. There is a concrete or brick wall to the right of the woman, with a white brick column on the right side. The wall has a rough texture and appears to be made of concrete or brick. There is a small object, possibly a trash bin or a trash can, located on the left side of the image, partially visible.

The woman is looking upwards with a focused expression, possibly indicating that she is contemplating something important or is about to make a decision. Her body language suggests that she is either listening or engaged in thought.","Is the mailbox on the left or right side of the woman?

Options:
A. Left
B. Right
C. In front
D. Directly above",4,1280,1280,540,0.5,0.5,thumb,540
