benchmark,method,sample_index,correct,predicted_answer,gt_answer,model_response,detector_summary,preprocess_time_sec,yolo_time_sec,processor_time_sec,prefill_time_sec,decode_time_sec,output_time_sec,input_time_with_preprocess_sec,total_time_sec,text_tokens,image_tokens,total_tokens,prefill_tokens_per_sec,decode_tokens_per_sec,prefill_mem_peak_allocated_mb,decode_mem_peak_allocated_mb,overall_peak_allocated_mb,num_objects,n_detections,n_crops_sent,smol_time_sec,smol_peak_mem_mb,smol_description,question,num_vlm_images
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,0,1,A,A,A,"person:0.34, person:0.31, class_67:0.45",8.963963399997738,0.5124203000013949,0.04695249999349471,0.04695249999349471,0.9988356000030763,0.9988356000030763,9.010915899991232,10.009751499994309,331.0,918.0,1249.0,26601.352434333625,2.0023315148096845,3753.986328125,3753.986328125,3753.986328125,3.0,6,3,8.451543099996343,949.6787109375,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27B
B. 37B
C. 27D
D. 27E",4
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,1,1,B,B,B,"person:0.34, person:0.31, class_67:0.45",8.097290300000168,0.407578199999989,0.047285100001317915,0.047285100001317915,1.0104871000003186,1.0104871000003186,8.144575400001486,9.155062500001804,331.0,918.0,1249.0,26414.240425952114,1.9792434757448851,3753.986328125,3753.986328125,3753.986328125,3.0,6,3,7.689712100000179,949.68994140625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27B
C. 37B
D. 27D",4
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,2,1,C,C,C,"person:0.34, person:0.31, class_67:0.45",8.448812299997371,0.3699810999969486,0.04548880000220379,0.04548880000220379,1.0043953999993391,1.0043953999993391,8.494301099999575,9.498696499998914,331.0,918.0,1249.0,27457.30817123094,1.9912476699926303,3753.986328125,3753.986328125,3753.986328125,3.0,6,3,8.078831200000423,949.68994140625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27D
C. 27B
D. 37B",4
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,3,1,D,D,D,"person:0.34, person:0.31, class_67:0.45",8.654984800006787,0.34016640000481857,0.04606420000345679,0.04606420000345679,1.0059832999977516,1.0059832999977516,8.701049000010244,9.707032300007995,331.0,918.0,1249.0,27114.33173497578,1.98810457390741,3753.986328125,3753.986328125,3753.986328125,3.0,6,3,8.314818400001968,949.68994140625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 37B
C. 27D
D. 27B",4
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,4,1,A,A,A,"class_67:0.53, class_67:0.40",8.762464300001739,0.3434095000047819,0.03213440000399714,0.03213440000399714,0.5697383000006084,0.5697383000006084,8.794598700005736,9.364337000006344,315.0,440.0,755.0,23495.07070012469,3.5103836270053534,3354.48974609375,3354.48974609375,3354.48974609375,2.0,8,2,8.419054799996957,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Blue
B. Red
C. Green
D. Black",3
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,5,1,B,B,B,"class_67:0.53, class_67:0.40",7.9948624999960884,0.32279279999784194,0.029903100003139116,0.029903100003139116,0.5586996999991243,0.5586996999991243,8.024765599999228,8.583465299998352,315.0,440.0,755.0,25248.218409487406,3.579740601262422,3354.48974609375,3354.48974609375,3354.48974609375,2.0,8,2,7.6720696999982465,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Green
B. Blue
C. Black
D. Red",3
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,6,1,C,C,C,"class_67:0.53, class_67:0.40",8.472046499991848,0.3307682999948156,0.0290580000000773,0.0290580000000773,0.5564941999982693,0.5564941999982693,8.501104499991925,9.057598699990194,315.0,440.0,755.0,25982.517723105222,3.5939278432842965,3354.48974609375,3354.48974609375,3354.48974609375,2.0,8,2,8.141278199997032,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Blue
D. Red",3
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,7,1,D,D,D,"class_67:0.53, class_67:0.40",8.366034099999524,0.3351617000007536,0.029117700003553182,0.029117700003553182,0.5728547000035178,0.5728547000035178,8.395151800003077,8.968006500006595,315.0,440.0,755.0,25929.245782045582,3.491286708458041,3354.48974609375,3354.48974609375,3354.48974609375,2.0,8,2,8.03087239999877,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Red
D. Blue",3
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,8,1,A,A,A,"person:0.25, class_75:0.38, class_67:0.29",8.312667899997905,0.3266571999993175,0.035509899993485305,0.035509899993485305,0.8857953000042471,0.8857953000042471,8.34817779999139,9.233973099995637,323.0,722.0,1045.0,29428.41292686595,2.257857994945797,3565.5390625,3565.5390625,3565.5390625,3.0,7,3,7.986010699998587,949.68994140625,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, dark hair that is parted in the middle, and she is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with the word ""SUSE"" visible on it. She is also wearing a wristwatch on her left wrist and a hand-bracelet on her right wrist.

The woman is holding a smartphone in her right hand, which she appears to be using to browse the internet. She is standing on a concrete or stone surface, which appears to be part of a building or a structure. The background includes a portion of the wall, which is painted in a light color, possibly white or light gray, and there is a brick wall to the right of the woman. The brick wall has a reddish-brown hue, and there is a small, rectangular object, possibly a trash bin or a box, visible on the right side of the image.

The woman's posture suggests she is either looking at something or is engaged in some activity, such as browsing the internet or perhaps checking something on her phone. Her expression is neutral","Is the mailbox on the left or right side of the woman?

Options:
A. Right
B. Directly above
C. In front
D. Left",4
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B,9,1,B,B,B,"person:0.25, class_75:0.38, class_67:0.29",7.758096799996565,0.3963108000025386,0.0360140999982832,0.0360140999982832,0.8749410000018543,0.8749410000018543,7.794110899994848,8.669051899996703,323.0,722.0,1045.0,29016.413017396393,2.2858684185513782,3565.5390625,3565.5390625,3565.5390625,3.0,7,3,7.3617859999940265,949.68994140625,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, dark hair that is parted in the middle, and she is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with the word ""SUSE"" visible on it. She is also wearing a wristwatch on her left wrist and a hand-bracelet on her right wrist.

The woman is holding a smartphone in her right hand, which she appears to be using to browse the internet. She is standing on a concrete or stone surface, which appears to be part of a building or a structure. The background includes a portion of the wall, which is painted in a light color, possibly white or light gray, and there is a brick wall to the right of the woman. The brick wall has a reddish-brown hue, and there is a small, rectangular object, possibly a trash bin or a box, visible on the right side of the image.

The woman's posture suggests she is either looking at something or is engaged in some activity, such as browsing the internet or perhaps checking something on her phone. Her expression is neutral","Is the mailbox on the left or right side of the woman?

Options:
A. Left
B. Right
C. In front
D. Directly above",4
