benchmark,method,sample_index,correct,predicted_answer,gt_answer,model_response,detector_summary,preprocess_time_sec,yolo_time_sec,processor_time_sec,prefill_time_sec,decode_time_sec,output_time_sec,input_time_with_preprocess_sec,total_time_sec,text_tokens,image_tokens,total_tokens,prefill_tokens_per_sec,decode_tokens_per_sec,prefill_mem_peak_allocated_mb,decode_mem_peak_allocated_mb,overall_peak_allocated_mb,num_objects,n_detections,n_crops_sent,smol_time_sec,smol_peak_mem_mb,smol_description,question,num_vlm_images
hrbench_4k,Smol_YOLO_Qwen_4B,0,1,A,A,A,"person:0.34, person:0.31, class_67:0.45",8.963963399997738,0.5124203000013949,0.05228209999768296,0.05228209999768296,0.9802759000012884,0.9802759000012884,9.01624549999542,9.996521399996709,331.0,663.0,994.0,19012.24319688865,2.0402419359665696,3538.05029296875,3538.05029296875,3538.05029296875,3.0,6,3,8.451543099996343,949.6787109375,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27B
B. 37B
C. 27D
D. 27E",3
hrbench_4k,Smol_YOLO_Qwen_4B,1,1,B,B,B,"person:0.34, person:0.31, class_67:0.45",8.097290300000168,0.407578199999989,0.027205700003833044,0.027205700003833044,0.7566272000040044,0.7566272000040044,8.124496000004001,8.881123200008005,331.0,663.0,994.0,36536.461104105176,2.643309677459937,3540.12060546875,3540.12060546875,3540.12060546875,3.0,6,3,7.689712100000179,949.68994140625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27B
C. 37B
D. 27D",3
hrbench_4k,Smol_YOLO_Qwen_4B,2,1,C,C,C,"person:0.34, person:0.31, class_67:0.45",8.448812299997371,0.3699810999969486,0.020334699998784345,0.020334699998784345,0.7316034000032232,0.7316034000032232,8.469146999996156,9.200750399999379,331.0,663.0,994.0,48881.960395748334,2.73372157645958,3540.12060546875,3540.12060546875,3540.12060546875,3.0,6,3,8.078831200000423,949.68994140625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27D
C. 27B
D. 37B",3
hrbench_4k,Smol_YOLO_Qwen_4B,3,1,D,D,D,"person:0.34, person:0.31, class_67:0.45",8.654984800006787,0.34016640000481857,0.022643000003881752,0.022643000003881752,0.7306373999963398,0.7306373999963398,8.677627800010669,9.408265200007008,331.0,663.0,994.0,43898.776656343936,2.7373359206769585,3540.12060546875,3540.12060546875,3540.12060546875,3.0,6,3,8.314818400001968,949.68994140625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be made of a solid material, possibly wood or a similar material. The door is slightly open, revealing a glimpse of the interior. The interior of the door is not entirely visible, but it appears to be a part of a larger structure, possibly a room or a hallway.

The door has a combination of wooden and metal elements. The door frame is made of wood, with a smooth, polished finish. The door appears to be closed, with a small, circular window on the top of the door. The window is slightly open, revealing a glimpse of the interior.

The door has a number plate on the top of it. The number plate is rectangular and has a black border. The number plate is located on the door, and it is likely a street address or a street number. The number plate is located in a white color, which contrasts with the dark wood door frame.

The woman in the image is wearing a white sleeveless top and a blue wristwatch. She has long, straight, dark hair that falls just past her shoulders. She is also wearing a blue and white striped shirt underneath the sleeveless","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 37B
C. 27D
D. 27B",3
hrbench_4k,Smol_YOLO_Qwen_4B,4,1,A,A,A,"class_67:0.53, class_67:0.40",8.762464300001739,0.3434095000047819,0.009364999998069834,0.009364999998069834,0.39252960000158055,0.39252960000158055,8.771829299999808,9.164358900001389,315.0,185.0,500.0,53390.282979503696,5.095157155006774,3178.23681640625,3178.23681640625,3178.23681640625,2.0,8,2,8.419054799996957,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Blue
B. Red
C. Green
D. Black",2
hrbench_4k,Smol_YOLO_Qwen_4B,5,1,B,B,B,"class_67:0.53, class_67:0.40",7.9948624999960884,0.32279279999784194,0.007913800000096671,0.007913800000096671,0.3829332000022987,0.3829332000022987,8.002776299996185,8.385709499998484,315.0,185.0,500.0,63180.77282644143,5.222843044134053,3178.23681640625,3178.23681640625,3178.23681640625,2.0,8,2,7.6720696999982465,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Green
B. Blue
C. Black
D. Red",2
hrbench_4k,Smol_YOLO_Qwen_4B,6,1,C,C,C,"class_67:0.53, class_67:0.40",8.472046499991848,0.3307682999948156,0.008007700002053753,0.008007700002053753,0.38760609999735607,0.38760609999735607,8.480054199993901,8.867660299991257,315.0,185.0,500.0,62439.901578700985,5.15987751486275,3178.23681640625,3178.23681640625,3178.23681640625,2.0,8,2,8.141278199997032,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Blue
D. Red",2
hrbench_4k,Smol_YOLO_Qwen_4B,7,1,D,D,D,"class_67:0.53, class_67:0.40",8.366034099999524,0.3351617000007536,0.00811700000485871,0.00811700000485871,0.38444739999977173,0.38444739999977173,8.374151100004383,8.758598500004155,315.0,185.0,500.0,61599.11293590092,5.202272144384869,3178.23681640625,3178.23681640625,3178.23681640625,2.0,8,2,8.03087239999877,949.68994140625,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a door and a sign that reads ""27B"" on the left side. The woman is holding a smartphone in her right hand, which is resting on her lap. She is wearing a sleeveless white top with a lace trim around the neckline and blue jeans. Her long, dark hair is flowing down her back, and she is wearing a beige backpack on her right shoulder.

The background features a slightly blurred section of a building, which appears to be part of a larger structure, possibly a school or a public building. The building has a series of vertical wooden slats, which are typical of older architectural designs. There is also a sign on the building, partially visible, which reads ""27B"" in large, bold letters. The sign is partially obscured by the woman's hand, but the text is visible and reads ""27B,"" indicating the date and time of the event or activity being advertised.

The woman is standing in front of a door, which is slightly open, and there is a brick wall to the right of the door. The bricks are a mix of red and white, and they are painted","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Red
D. Blue",2
hrbench_4k,Smol_YOLO_Qwen_4B,8,1,A,A,A,"person:0.25, class_75:0.38, class_67:0.29",8.312667899997905,0.3266571999993175,0.015212099999189377,0.015212099999189377,0.5910141999993357,0.5910141999993357,8.327879999997094,8.91889419999643,323.0,467.0,790.0,51932.34333472023,3.3840134467196354,3371.13623046875,3371.13623046875,3371.13623046875,3.0,7,3,7.986010699998587,949.68994140625,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, dark hair that is parted in the middle, and she is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with the word ""SUSE"" visible on it. She is also wearing a wristwatch on her left wrist and a hand-bracelet on her right wrist.

The woman is holding a smartphone in her right hand, which she appears to be using to browse the internet. She is standing on a concrete or stone surface, which appears to be part of a building or a structure. The background includes a portion of the wall, which is painted in a light color, possibly white or light gray, and there is a brick wall to the right of the woman. The brick wall has a reddish-brown hue, and there is a small, rectangular object, possibly a trash bin or a box, visible on the right side of the image.

The woman's posture suggests she is either looking at something or is engaged in some activity, such as browsing the internet or perhaps checking something on her phone. Her expression is neutral","Is the mailbox on the left or right side of the woman?

Options:
A. Right
B. Directly above
C. In front
D. Left",3
hrbench_4k,Smol_YOLO_Qwen_4B,9,1,B,B,B,"person:0.25, class_75:0.38, class_67:0.29",7.758096799996565,0.3963108000025386,0.017878300001029857,0.017878300001029857,0.6007442999980412,0.6007442999980412,7.775975099997595,8.376719399995636,323.0,467.0,790.0,44187.64647390932,3.3292034564564674,3371.13623046875,3371.13623046875,3371.13623046875,3.0,7,3,7.3617859999940265,949.68994140625,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, dark hair that is parted in the middle, and she is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with the word ""SUSE"" visible on it. She is also wearing a wristwatch on her left wrist and a hand-bracelet on her right wrist.

The woman is holding a smartphone in her right hand, which she appears to be using to browse the internet. She is standing on a concrete or stone surface, which appears to be part of a building or a structure. The background includes a portion of the wall, which is painted in a light color, possibly white or light gray, and there is a brick wall to the right of the woman. The brick wall has a reddish-brown hue, and there is a small, rectangular object, possibly a trash bin or a box, visible on the right side of the image.

The woman's posture suggests she is either looking at something or is engaged in some activity, such as browsing the internet or perhaps checking something on her phone. Her expression is neutral","Is the mailbox on the left or right side of the woman?

Options:
A. Left
B. Right
C. In front
D. Directly above",3
