benchmark,method,sample_index,correct,predicted_answer,gt_answer,model_response,detector_summary,preprocess_time_sec,yolo_time_sec,processor_time_sec,prefill_time_sec,decode_time_sec,output_time_sec,input_time_with_preprocess_sec,total_time_sec,text_tokens,image_tokens,total_tokens,prefill_tokens_per_sec,decode_tokens_per_sec,prefill_mem_peak_allocated_mb,decode_mem_peak_allocated_mb,overall_peak_allocated_mb,num_objects,n_detections,n_crops_sent,smol_time_sec,smol_peak_mem_mb,smol_text_tokens,smol_image_tokens,smol_total_tokens,qwen_text_tokens,qwen_image_tokens,qwen_total_tokens,qwen_peak_mem_mb,smol_description,question,num_vlm_images,single_vlm_max_side,smol_max_side,thumb_max_side,crop_qwen_scale,yolo_context_scale,sweep_axis,sweep_value
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,0,1,A,A,A,"person:0.34, person:0.31, class_67:0.45",9.833528099989053,1.0585569999821018,0.03438380002626218,0.03438380002626218,0.9203194000001531,0.9203194000001531,9.867911900015315,10.788231300015468,530.0,536.0,1066.0,31002.972306312695,2.1731585795101864,3592.58642578125,3592.58642578125,3592.58642578125,3.0,6,3,8.774971100006951,3186.6376953125,27.0,1127.0,1154.0,530.0,536.0,1066.0,3592.58642578125,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27B
B. 37B
C. 27D
D. 27E",4,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,1,1,B,B,B,"person:0.34, person:0.31, class_67:0.45",10.141410299984273,1.0600376999936998,0.02813279998372309,0.02813279998372309,0.9223919000069145,0.9223919000069145,10.169543099967996,11.09193499997491,530.0,536.0,1066.0,37891.7136089106,2.1682757621624904,3592.58642578125,3592.58642578125,3592.58642578125,3.0,6,3,9.081372599990573,3186.64892578125,27.0,1127.0,1154.0,530.0,536.0,1066.0,3592.58642578125,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27B
C. 37B
D. 27D",4,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,2,1,C,C,C,"person:0.34, person:0.31, class_67:0.45",10.134218799998052,1.2904910999932326,0.061137700016843155,0.061137700016843155,0.9245088000025135,0.9245088000025135,10.195356500014896,11.119865300017409,530.0,536.0,1066.0,17436.050091945264,2.163310938732614,3592.58642578125,3592.58642578125,3592.58642578125,3.0,6,3,8.84372770000482,3186.64892578125,27.0,1127.0,1154.0,530.0,536.0,1066.0,3592.58642578125,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27D
C. 27B
D. 37B",4,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,3,1,D,D,D,"person:0.34, person:0.31, class_67:0.45",9.783448500005761,1.381527699995786,0.04428929998539388,0.04428929998539388,0.9191566999943461,0.9191566999943461,9.827737799991155,10.746894499985501,530.0,536.0,1066.0,24069.018935759992,2.1759075465720943,3592.58642578125,3592.58642578125,3592.58642578125,3.0,6,3,8.401920800009975,3186.64892578125,27.0,1127.0,1154.0,530.0,536.0,1066.0,3592.58642578125,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 37B
C. 27D
D. 27B",4,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,4,1,A,A,A,"class_67:0.53, class_67:0.40",9.745787799998652,1.4872815999842715,0.038963800005149096,0.038963800005149096,0.7430722000135574,0.7430722000135574,9.784751600003801,10.527823800017359,471.0,448.0,919.0,23585.995202689508,2.691528494759338,3491.46826171875,3491.46826171875,3491.46826171875,2.0,8,2,8.25850620001438,3186.64892578125,27.0,1127.0,1154.0,471.0,448.0,919.0,3491.46826171875,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Blue
B. Red
C. Green
D. Black",3,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,5,1,B,B,B,"class_67:0.53, class_67:0.40",9.501811099995393,1.3880054999899585,0.05138210000586696,0.05138210000586696,0.7434760000032838,0.7434760000032838,9.55319320000126,10.296669200004544,471.0,448.0,919.0,17885.606074782187,2.6900666598399496,3491.46826171875,3491.46826171875,3491.46826171875,2.0,8,2,8.113805600005435,3186.64892578125,27.0,1127.0,1154.0,471.0,448.0,919.0,3491.46826171875,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Blue
C. Black
D. Red",3,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,6,1,C,C,C,"class_67:0.53, class_67:0.40",9.281340799992904,1.417163600010099,0.052668899996206164,0.052668899996206164,0.7448571999848355,0.7448571999848355,9.33400969998911,10.078866899973946,471.0,448.0,919.0,17448.627179724605,2.685078428510482,3491.46826171875,3491.46826171875,3491.46826171875,2.0,8,2,7.864177199982805,3186.64892578125,27.0,1127.0,1154.0,471.0,448.0,919.0,3491.46826171875,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Blue
D. Red",3,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,7,1,D,D,D,"class_67:0.53, class_67:0.40",9.458349299995461,1.4851974000048358,0.052216900017810985,0.052216900017810985,0.746899800025858,0.746899800025858,9.510566200013272,10.25746600003913,471.0,448.0,919.0,17599.666002511305,2.6777353534312893,3491.46826171875,3491.46826171875,3491.46826171875,2.0,8,2,7.973151899990626,3186.64892578125,27.0,1127.0,1154.0,471.0,448.0,919.0,3491.46826171875,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Red
D. Blue",3,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,8,1,A,A,A,"person:0.25, class_75:0.38, class_67:0.29",9.417749799991725,1.4301752999890596,0.03033120001782663,0.03033120001782663,0.8968291000055615,0.8968291000055615,9.448081000009552,10.344910100015113,513.0,526.0,1039.0,34255.15638647155,2.2300792871101054,3569.79150390625,3569.79150390625,3569.79150390625,3.0,7,3,7.9875745000026654,3186.64892578125,27.0,1127.0,1154.0,513.0,526.0,1039.0,3569.79150390625,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, straight, dark hair that is parted in the middle and falls over her shoulders. She is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with some text on it. She is also wearing a white handbag with a lace trim and a small blue tag with some text on it. Her shorts are light blue and she has a watch on her left wrist.

The background of the image is slightly blurred, but it appears to be an outdoor setting, possibly a courtyard or a small park. There is a concrete or brick wall to the right of the woman, with a white brick column on the right side. The wall has a rough texture and appears to be made of concrete or brick. There is a small object, possibly a trash bin or a trash can, located on the left side of the image, partially visible.

The woman is looking upwards with a focused expression, possibly indicating that she is contemplating something important or is about to make a decision. Her body language suggests that she is either listening or engaged in thought.","Is the mailbox on the left or right side of the woman?

Options:
A. Right
B. Directly above
C. In front
D. Left",4,1280,1280,512,0.5,0.5,crop_qwen,0.5
hrbench_4k,Thumb_Smol_YOLO_Qwen_4B_crop050,9,1,B,B,B,"person:0.25, class_75:0.38, class_67:0.29",9.35079759999644,1.4259115000022575,0.033353199978591874,0.033353199978591874,0.8911805000097957,0.8911805000097957,9.384150799975032,10.275331299984828,513.0,526.0,1039.0,31151.433765482587,2.2442142753101266,3569.79150390625,3569.79150390625,3569.79150390625,3.0,7,3,7.924886099994183,3186.64892578125,27.0,1127.0,1154.0,513.0,526.0,1039.0,3569.79150390625,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, straight, dark hair that is parted in the middle and falls over her shoulders. She is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with some text on it. She is also wearing a white handbag with a lace trim and a small blue tag with some text on it. Her shorts are light blue and she has a watch on her left wrist.

The background of the image is slightly blurred, but it appears to be an outdoor setting, possibly a courtyard or a small park. There is a concrete or brick wall to the right of the woman, with a white brick column on the right side. The wall has a rough texture and appears to be made of concrete or brick. There is a small object, possibly a trash bin or a trash can, located on the left side of the image, partially visible.

The woman is looking upwards with a focused expression, possibly indicating that she is contemplating something important or is about to make a decision. Her body language suggests that she is either listening or engaged in thought.","Is the mailbox on the left or right side of the woman?

Options:
A. Left
B. Right
C. In front
D. Directly above",4,1280,1280,512,0.5,0.5,crop_qwen,0.5
