benchmark,method,sample_index,correct,predicted_answer,gt_answer,model_response,detector_summary,preprocess_time_sec,yolo_time_sec,processor_time_sec,prefill_time_sec,decode_time_sec,output_time_sec,input_time_with_preprocess_sec,total_time_sec,text_tokens,image_tokens,total_tokens,prefill_tokens_per_sec,decode_tokens_per_sec,prefill_mem_peak_allocated_mb,decode_mem_peak_allocated_mb,overall_peak_allocated_mb,num_objects,n_detections,n_crops_sent,smol_time_sec,smol_peak_mem_mb,smol_text_tokens,smol_image_tokens,smol_total_tokens,qwen_text_tokens,qwen_image_tokens,qwen_total_tokens,qwen_peak_mem_mb,smol_description,question,num_vlm_images,single_vlm_max_side,smol_max_side,thumb_max_side,crop_qwen_scale,yolo_context_scale,sweep_axis,sweep_value
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,0,1,A,A,A,"person:0.41, person:0.42, person:0.54, class_17:0.26, person:0.44, person:0.35, person:0.37, person:0.29, class_38:0.51, class_14:0.32, class_33:0.35",9.820086199993966,1.3146006999886595,0.033320399990770966,0.033320399990770966,0.9242778999905568,0.9242778999905568,9.853406599984737,10.777684499975294,405.0,761.0,1166.0,34993.5775177656,2.163851369831989,3690.13525390625,3690.13525390625,3690.13525390625,11.0,12,11,8.486735900019994,3186.6376953125,27.0,1127.0,1154.0,405.0,761.0,1166.0,3690.13525390625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27B
B. 37B
C. 27D
D. 27E",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,1,1,B,B,B,"person:0.41, person:0.42, person:0.54, class_17:0.26, person:0.44, person:0.35, person:0.37, person:0.29, class_38:0.51, class_14:0.32, class_33:0.35",8.999449100025231,1.2923107000242453,0.03643120001652278,0.03643120001652278,0.937504200002877,0.937504200002877,9.035880300041754,9.97338450004463,405.0,761.0,1166.0,32005.533703835714,2.1333237760362698,3690.13525390625,3690.13525390625,3690.13525390625,11.0,12,11,7.6896859999978915,3186.64892578125,27.0,1127.0,1154.0,405.0,761.0,1166.0,3690.13525390625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27B
C. 37B
D. 27D",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,2,1,C,C,C,"person:0.41, person:0.42, person:0.54, class_17:0.26, person:0.44, person:0.35, person:0.37, person:0.29, class_38:0.51, class_14:0.32, class_33:0.35",9.187547099980293,1.4507462999899872,0.03509920000215061,0.03509920000215061,1.0707554000255186,1.0707554000255186,9.222646299982443,10.293401700007962,405.0,761.0,1166.0,33220.13037130637,1.8678402181789933,3690.13525390625,3690.13525390625,3690.13525390625,11.0,12,11,7.7180957999953534,3186.64892578125,27.0,1127.0,1154.0,405.0,761.0,1166.0,3690.13525390625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 27D
C. 27B
D. 37B",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,3,1,D,D,D,"person:0.41, person:0.42, person:0.54, class_17:0.26, person:0.44, person:0.35, person:0.37, person:0.29, class_38:0.51, class_14:0.32, class_33:0.35",9.558175200014375,1.5081865999964066,0.029917200008640066,0.029917200008640066,0.9987863999849651,0.9987863999849651,9.588092400023015,10.58687880000798,405.0,761.0,1166.0,38974.235545547715,2.0024301492592476,3690.13525390625,3690.13525390625,3690.13525390625,11.0,12,11,8.031818100018427,3186.64892578125,27.0,1127.0,1154.0,405.0,761.0,1166.0,3690.13525390625,"The image depicts a young woman standing in front of a doorway. The door is made of wood and appears to be painted white, with a slightly slanted roof. The door is slightly open, revealing a glimpse of the interior. The woman is wearing a white sleeveless top and has long, straight, dark hair. She is also wearing a wristwatch on her left wrist and a blue handbag on her right shoulder.

The door is slightly open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background. There is a window to the left of the door, which is covered with a curtain. The curtain is partially visible, but it is not entirely clear.

The woman is looking to the right side of the image, which is where the text ""27B"" is located. This indicates that the door is likely a door to a building or a room, as the number ""27B"" is a common identifier for a building number.

The door is made of wood and has a slanted roof. The door is open, revealing a glimpse of the interior. The interior is not entirely visible, but it appears to be a room with a dark background","What is the number displayed above the entrance where the woman is standing?

Options:
A. 27E
B. 37B
C. 27D
D. 27B",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,4,1,A,A,A,"person:0.32, person:0.35, person:0.55, person:0.32, person:0.27, class_17:0.29, person:0.60, person:0.48, person:0.30, class_69:0.26, person:0.31, class_38:0.72",9.631703999999445,1.2769717999908607,0.04205139999976382,0.04205139999976382,1.2008784000063315,1.2008784000063315,9.673755399999209,10.87463380000554,386.0,1081.0,1467.0,34885.87775931929,1.6654475590446587,3999.396484375,3999.396484375,3999.396484375,12.0,13,12,8.330113900010474,3186.64892578125,27.0,1127.0,1154.0,386.0,1081.0,1467.0,3999.396484375,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Blue
B. Red
C. Green
D. Black",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,5,1,B,B,B,"person:0.32, person:0.35, person:0.55, person:0.32, person:0.27, class_17:0.29, person:0.60, person:0.48, person:0.30, class_69:0.26, person:0.31, class_38:0.72",9.463572399981786,1.300131700001657,0.04301709998981096,0.04301709998981096,1.2229515000071842,1.2229515000071842,9.506589499971597,10.72954099997878,386.0,1081.0,1467.0,34102.71729957328,1.6353878301700853,3999.396484375,3999.396484375,3999.396484375,12.0,13,12,8.138968799990835,3186.64892578125,27.0,1127.0,1154.0,386.0,1081.0,1467.0,3999.396484375,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Blue
C. Black
D. Red",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,6,1,C,C,C,"person:0.32, person:0.35, person:0.55, person:0.32, person:0.27, class_17:0.29, person:0.60, person:0.48, person:0.30, class_69:0.26, person:0.31, class_38:0.72",9.302440899977228,1.3239201999967918,0.043579400022281334,0.043579400022281334,1.2216028999828268,1.2216028999828268,9.346020299999509,10.567623199982336,386.0,1081.0,1467.0,33662.6938243746,1.6371932319644262,3999.396484375,3999.396484375,3999.396484375,12.0,13,12,7.952614999987418,3186.64892578125,27.0,1127.0,1154.0,386.0,1081.0,1467.0,3999.396484375,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Blue
D. Red",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,7,1,D,D,D,"person:0.32, person:0.35, person:0.55, person:0.32, person:0.27, class_17:0.29, person:0.60, person:0.48, person:0.30, class_69:0.26, person:0.31, class_38:0.72",9.199428900028579,1.2759624000173062,0.041469400021014735,0.041469400021014735,1.2025914000114426,1.2025914000114426,9.240898300049594,10.443489700061036,386.0,1081.0,1467.0,35375.48166254138,1.6630752556362618,3999.396484375,3999.396484375,3999.396484375,12.0,13,12,7.899007600004552,3186.64892578125,27.0,1127.0,1154.0,386.0,1081.0,1467.0,3999.396484375,"The image depicts a young woman standing outdoors, likely in a public space, as indicated by the presence of a sign or advertisement on the wall behind her. The woman is holding a smartphone in her right hand, which she appears to be using to text or communicate with someone. She is wearing a white sleeveless top and light-colored pants, which are slightly loose-fitting. Her long, dark hair is neatly styled, and she is wearing a beige backpack on her back.

The background of the image is slightly blurred, focusing attention on the woman and the sign or advertisement. The sign or advertisement is partially visible, partially obscured by the woman's hand and the surrounding elements. The sign has a rectangular shape with some text and a logo, but the details are not clear. The text on the sign is not legible, but it appears to be related to a business or organization.

The wall behind the woman is painted in a light color, possibly white or beige, and has a few visible cracks and patches. The bricks in the background are a reddish-brown color, and they are arranged in a pattern that suggests a brick wall. The bricks are arranged in a pattern that is somewhat irregular, with some areas appearing to be more","What is the color of the mailbox?

Options:
A. Green
B. Black
C. Red
D. Blue",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,8,1,A,A,A,"person:0.28, person:0.38, person:0.29, person:0.52, person:0.43, person:0.41, person:0.59, person:0.51, class_69:0.26, class_33:0.29, class_14:0.31",8.980395799997495,1.2723128000216093,0.04309250001097098,0.04309250001097098,1.1140490000252612,1.1140490000252612,9.023488300008466,10.137537300033728,392.0,1001.0,1393.0,32325.810747702133,1.7952531710496125,3918.4189453125,3918.4189453125,3918.4189453125,11.0,12,11,7.682979899982456,3186.64892578125,27.0,1127.0,1154.0,392.0,1001.0,1393.0,3918.4189453125,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, straight, dark hair that is parted in the middle and falls over her shoulders. She is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with some text on it. She is also wearing a white handbag with a lace trim and a small blue tag with some text on it. Her shorts are light blue and she has a watch on her left wrist.

The background of the image is slightly blurred, but it appears to be an outdoor setting, possibly a courtyard or a small park. There is a concrete or brick wall to the right of the woman, with a white brick column on the right side. The wall has a rough texture and appears to be made of concrete or brick. There is a small object, possibly a trash bin or a trash can, located on the left side of the image, partially visible.

The woman is looking upwards with a focused expression, possibly indicating that she is contemplating something important or is about to make a decision. Her body language suggests that she is either listening or engaged in thought.","Is the mailbox on the left or right side of the woman?

Options:
A. Right
B. Directly above
C. In front
D. Left",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
hrbench_4k,Smol_YOLO_Qwen_4B_ctx100,9,1,B,B,B,"person:0.28, person:0.38, person:0.29, person:0.52, person:0.43, person:0.41, person:0.59, person:0.51, class_69:0.26, class_33:0.29, class_14:0.31",9.280171499965945,1.3305947999760974,0.03983560000779107,0.03983560000779107,1.137858400004916,1.137858400004916,9.320007099973736,10.457865499978652,392.0,1001.0,1393.0,34968.721438300316,1.75768795132273,3918.4189453125,3918.4189453125,3918.4189453125,11.0,12,11,7.9257319000025745,3186.64892578125,27.0,1127.0,1154.0,392.0,1001.0,1393.0,3918.4189453125,"The image depicts a young woman standing in front of a doorway or a wall, looking upwards with a focused expression. She has long, straight, dark hair that is parted in the middle and falls over her shoulders. She is wearing a white sleeveless top and light blue shorts. The top has a lace trim around the neckline and a small blue tag with some text on it. She is also wearing a white handbag with a lace trim and a small blue tag with some text on it. Her shorts are light blue and she has a watch on her left wrist.

The background of the image is slightly blurred, but it appears to be an outdoor setting, possibly a courtyard or a small park. There is a concrete or brick wall to the right of the woman, with a white brick column on the right side. The wall has a rough texture and appears to be made of concrete or brick. There is a small object, possibly a trash bin or a trash can, located on the left side of the image, partially visible.

The woman is looking upwards with a focused expression, possibly indicating that she is contemplating something important or is about to make a decision. Her body language suggests that she is either listening or engaged in thought.","Is the mailbox on the left or right side of the woman?

Options:
A. Left
B. Right
C. In front
D. Directly above",1,1280,1280,512,0.5,1.0,yolo_ctx,1.0
